No;xtset;xtset_;ife;ife_
1;1;2013;10.8196;10.6974
2;1;2014;11.0627;10.7334
3;1;2015;11.0627;10.7334
4;2;2013;10.4267;10.6135
5;2;2014;10.6356;10.6311
6;2;2015;10.9838;10.6444
7;3;2013;10.7317;11.0644
8;3;2014;10.9723;10.9758
9;3;2015;10.9925;10.9322
10;4;2013;9.6292;10.6518
11;4;2014;10.6222;10.5532
12;4;2015;10.7254;10.593
13;5;2013;10.6102;10.7478
14;5;2014;10.6518;10.6725
15;5;2015;10.7452;10.6667
16;6;2013;10.8725;10.9207
17;6;2014;11.0184;10.7789
18;6;2015;11.0665;10.81
19;7;2013;10.5719;10.711
20;7;2014;10.822;10.6639
21;7;2015;10.8596;10.7258
22;8;2013;10.8016;10.6155
23;8;2014;10.9519;10.7012
24;8;2015;11.024;10.7556
25;9;2013;10.8118;10.7507
26;9;2014;10.8797;10.7048
27;9;2015;11.0273;10.8421
28;10;2013;10.9695;10.6106
29;10;2014;11.1641;10.6681
30;10;2015;11.1169;10.6993
31;11;2013;10.9848;10.8172
32;11;2014;11.1491;10.7874
33;11;2015;11.2568;10.7592
34;12;2013;10.7917;10.8448
35;12;2014;10.9397;10.76
36;12;2015;10.9882;10.7428
37;13;2013;10.7225;10.4896
38;13;2014;10.8107;10.446
39;13;2015;10.9032;10.4889
40;14;2013;10.632;10.5313
41;14;2014;10.8836;10.4273
42;14;2015;11.2332;10.3116
43;15;2013;10.7495;10.7185
44;15;2014;10.6758;10.5469
45;15;2015;10.8881;10.6207
46;16;2013;10.8165;10.2966
47;16;2014;10.8616;10.6619
48;16;2015;10.8006;10.723
49;17;2013;10.7284;10.8148
50;17;2014;10.7699;10.725
51;17;2015;10.8813;10.7454
52;18;2013;10.9527;10.4205
53;18;2014;10.9481;10.4104
54;18;2015;11.053;10.5493
55;19;2013;10.9054;10.6092
56;19;2014;10.9689;10.786
57;19;2015;10.964;10.7205
58;20;2013;10.7324;10.4952
59;20;2014;10.8287;10.4426
60;20;2015;10.8446;10.4366
61;21;2013;10.9422;10.4621
62;21;2014;10.8191;10.5252
63;21;2015;10.9059;10.6221
